ID_ACCIDENTE,AÑO,PROVINCIA,MES,DIA_SEMANA,HORA,ZONA,TIPO_VIA,TIPO_ACCIDENTE,CONDICION_METEO,CONDICION_ILUMINACION,TOTAL_VICTIMAS,FALLECIDOS_24H,HERIDOS_GRAVES,HERIDOS_LEVES
3006,2019,Alicante,7,Martes,17,Zona interurbana,Vía convencional,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3007,2019,Alicante,7,Jueves,0,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Se desconoce,1,0,0,1
3008,2019,Alicante,7,Sábado,12,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
3009,2019,Alicante,7,Domingo,19,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
3010,2019,Alicante,6,Jueves,11,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
3011,2019,Alicante,7,Martes,14,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3012,2019,Alicante,7,Jueves,21,Travesía,Otro,Animal en calzada,Buen tiempo,Noche sin iluminación,1,0,0,1
3013,2019,Alicante,7,Lunes,17,Travesía,Otro,Caída de motociclista,Buen tiempo,Pleno día,1,0,0,1
3014,2019,Alicante,7,Martes,20,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Amanecer/Anochecer,1,0,0,1
3015,2019,Alicante,7,Lunes,11,Zona interurbana,Camino vecinal,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3016,2019,Alicante,6,Miércoles,8,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
3017,2019,Alicante,7,Martes,21,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Noche sin iluminación,1,0,0,1
3018,2019,Alicante,6,Sábado,8,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3019,2019,Alicante,6,Domingo,8,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3020,2019,Alicante,6,Viernes,11,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,2,0,0,2
3021,2019,Alicante,7,Miércoles,16,Travesía,Otro,Colisión frontal,Buen tiempo,Pleno día,2,0,0,2
3022,2019,Alicante,7,Jueves,14,Travesía,Otro urbano,Colisión frontal,Buen tiempo,Pleno día,2,0,0,2
3023,2019,Alicante,7,Viernes,14,Travesía,Otro,Colisión frontal,Buen tiempo,Pleno día,2,0,0,2
3024,2019,Alicante,7,Domingo,23,Travesía,Otro,Se desconoce,Buen tiempo,Noche sin iluminación,1,0,0,1
3025,2019,Alicante,7,Domingo,15,Travesía,Calle peatonal,Choque obstáculo calzada,Buen tiempo,Pleno día,2,0,0,2
3026,2019,Alicante,6,Lunes,19,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,3,0,0,3
3027,2019,Alicante,7,Martes,17,Travesía,Otro,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
3028,2019,Alicante,6,Martes,13,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
3029,2019,Alicante,5,Martes,7,Travesía,Otro,Animal en calzada,Buen tiempo,Noche con iluminación,1,0,0,1
3030,2019,Alicante,7,Martes,10,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
3031,2019,Alicante,6,Martes,7,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3032,2019,Alicante,7,Lunes,13,Travesía,Otro,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
3033,2019,Alicante,7,Lunes,7,Travesía,Otro,Colisión lateral,Buen tiempo,Pleno día,1,0,1,0
3034,2019,Alicante,7,Domingo,20,Travesía,Otro,Colisión frontal,Buen tiempo,Pleno día,5,0,0,5
3035,2019,Alicante,6,Viernes,18,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
3036,2019,Alicante,7,Jueves,17,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
3037,2019,Alicante,7,Jueves,18,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
3038,2019,Alicante,7,Martes,15,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3039,2019,Alicante,7,Martes,17,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
3040,2019,Alicante,7,Sábado,8,Travesía,Otro,Salida vía izquierda,Buen tiempo,Pleno día,1,0,0,1
3041,2019,Alicante,6,Lunes,13,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
3042,2019,Alicante,7,Martes,13,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
3043,2019,Alicante,8,Jueves,20,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
3044,2019,Alicante,8,Sábado,5,Zona interurbana,Ramal/enlace,Salida vía izquierda,Buen tiempo,Se desconoce,1,0,0,1
3045,2019,Alicante,8,Martes,7,Travesía,Otro urbano,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
3046,2019,Alicante,8,Domingo,22,Zona interurbana,Camino vecinal,Animal en calzada,Buen tiempo,Noche ilum. insuficiente,1,0,0,1
3047,2019,Alicante,5,Sábado,21,Travesía,Otro,Colisión frontal,Buen tiempo,Noche sin iluminación,1,0,0,1
3048,2019,Alicante,8,Viernes,14,Zona interurbana,Vía urbana,Se desconoce,Buen tiempo,Pleno día,1,1,0,0
3049,2019,Alicante,8,Sábado,22,Travesía,Otro,Colisión por alcance,Buen tiempo,Noche sin iluminación,2,0,0,2
3050,2019,Alicante,7,Jueves,9,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3051,2019,Alicante,8,Sábado,4,Travesía,Otro urbano,Salida vía izquierda,Buen tiempo,Noche ilum. insuficiente,1,0,0,1
3052,2019,Alicante,8,Jueves,12,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
3053,2019,Alicante,8,Viernes,8,Zona interurbana,Camino vecinal,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
